# H0 k Omega_rbh chi2
7.198470694731280162e+01 3.450930205302561671e+00 3.179745851129622825e-02 1.141128559392811148e+01
7.211778278927765484e+01 3.442901920880504729e+00 3.844719757694504275e-02 1.125538307214918632e+01
7.215955656988597866e+01 3.414604150628045787e+00 2.832150996296731865e-02 1.111790813351398199e+01
7.238435661808257748e+01 3.277361167866235103e+00 4.119663317734629376e-02 1.098832084692263500e+01
7.238435661808257748e+01 3.277361167866235103e+00 4.119663317734629376e-02 1.098832084692263500e+01
7.281948778668123623e+01 3.344381581100817957e+00 5.366074316960809526e-02 1.090432973451103749e+01
7.329795422895708157e+01 3.112228495502761483e+00 4.360074470031343602e-02 1.102744116920376882e+01
7.337330465524178180e+01 3.166774491194988883e+00 4.398414164334145393e-02 1.109252314207062007e+01
7.337330465524178180e+01 3.166774491194988883e+00 4.398414164334145393e-02 1.109252314207062007e+01
7.341005024001873380e+01 3.093191638614993799e+00 2.663930441684971354e-02 1.091992846671413631e+01
7.341005024001873380e+01 3.093191638614993799e+00 2.663930441684971354e-02 1.091992846671413631e+01
7.347982198805452470e+01 3.265483126375300582e+00 1.781533419861417583e-02 1.087870999379063619e+01
7.340691225055431346e+01 3.074874434593305672e+00 1.311920190218272483e-02 1.075978812558823883e+01
7.399187942711415644e+01 3.051804346602908780e+00 2.291603881489127220e-02 1.180416234830601496e+01
7.399187942711415644e+01 3.051804346602908780e+00 2.291603881489127220e-02 1.180416234830601496e+01
7.399187942711415644e+01 3.051804346602908780e+00 2.291603881489127220e-02 1.180416234830601496e+01
7.399187942711415644e+01 3.051804346602908780e+00 2.291603881489127220e-02 1.180416234830601496e+01
7.424722303668131929e+01 2.615866845426170872e+00 1.580792004294093167e-02 1.235289243864963993e+01
7.425530082345592575e+01 2.615072752426560232e+00 1.247721332701060698e-02 1.231967319552240880e+01
7.425530082345592575e+01 2.615072752426560232e+00 1.247721332701060698e-02 1.231967319552240880e+01
7.443042741341503188e+01 2.779414149811453072e+00 1.850408411993487157e-02 1.289548830195146856e+01
7.402209141558751071e+01 2.508182623887099005e+00 1.542654539814316932e-02 1.181293488616693566e+01
7.402209141558751071e+01 2.508182623887099005e+00 1.542654539814316932e-02 1.181293488616693566e+01
7.371025812111868447e+01 2.447639060472321937e+00 2.135895744930720735e-02 1.132460526521968802e+01
7.376741784003067437e+01 2.439024900430425635e+00 1.349252067585208874e-02 1.129126184670042932e+01
7.355609574038385290e+01 2.595077707064721295e+00 2.085379904604142340e-02 1.107159356445324683e+01
7.355609574038385290e+01 2.595077707064721295e+00 2.085379904604142340e-02 1.107159356445324683e+01
7.362815635880546949e+01 2.272481957846301803e+00 1.729739339495656864e-02 1.115009372841641877e+01
7.344064422294988503e+01 2.445277026394374609e+00 1.015319039653127427e-02 1.078998002344339113e+01
7.344064422294988503e+01 2.445277026394374609e+00 1.015319039653127427e-02 1.078998002344339113e+01
7.335864952443229470e+01 2.430064975181952747e+00 1.884586516985695820e-02 1.083538782354349017e+01
7.342919105938936752e+01 2.531191892123505927e+00 2.868477608214319713e-02 1.104917996808664604e+01
7.342919105938936752e+01 2.531191892123505927e+00 2.868477608214319713e-02 1.104917996808664604e+01
7.342919105938936752e+01 2.531191892123505927e+00 2.868477608214319713e-02 1.104917996808664604e+01
7.332871742201533038e+01 2.350976098728618791e+00 2.685376122472358032e-02 1.094917387955467269e+01
7.295830300830236581e+01 2.443300717714552484e+00 2.479099901664373259e-02 1.069879987209814587e+01
7.292948186805392652e+01 2.240118995060795370e+00 1.644085038402721619e-02 1.059460634790188038e+01
7.321108391382814773e+01 2.606848596282377972e+00 2.169168282990360450e-02 1.074141092208450488e+01
7.292472658250945017e+01 2.902638840365491024e+00 1.847187382271857359e-02 1.056968508451303990e+01
7.289859953299232131e+01 3.162288189992710219e+00 1.428297757364425241e-02 1.051057178935695546e+01
7.268686854487563664e+01 3.255223692567351890e+00 1.929729168762701202e-02 1.059032148126890327e+01
7.327383037865833160e+01 3.329278923158982550e+00 1.622808712057313349e-02 1.066367503145570339e+01
7.327383037865833160e+01 3.329278923158982550e+00 1.622808712057313349e-02 1.066367503145570339e+01
7.330349064344503063e+01 3.340182974760552259e+00 1.419074574003979100e-02 1.066597685324736489e+01
