# H0 k Omega_rbh chi2
71.7015 2.3892 0.1223 13.7006
71.3880 2.1783 0.1173 14.5221
71.8221 2.5127 0.1078 13.0228
71.6680 2.6908 0.1015 13.0514
71.6268 2.8930 0.1100 13.1446
71.5356 2.8838 0.1064 13.2976
71.7173 2.7265 0.1062 13.0100
71.9233 2.9542 0.1167 12.6642
72.1024 2.8210 0.1171 12.5314
71.7170 2.7350 0.1118 13.1042
71.7926 3.0236 0.1079 12.7015
71.7926 3.0236 0.1079 12.7015
71.6590 3.1693 0.1140 12.9689
71.3747 3.4012 0.1036 13.4202
71.5590 3.0740 0.0999 13.0493
71.6495 3.0647 0.0966 12.8073
71.7127 2.9539 0.1087 12.9085
71.8667 2.8985 0.1092 12.6702
71.7901 2.8054 0.1167 13.0007
71.9185 2.9399 0.1136 12.6303
72.2701 2.5773 0.1121 12.4852
72.6162 2.4707 0.1185 12.5977
72.5654 2.3259 0.0996 12.2859
72.5654 2.3259 0.0996 12.2859
72.5654 2.3259 0.0996 12.2859
72.8474 2.1591 0.1097 12.8138
72.9581 2.1410 0.1017 12.6336
73.6646 2.4503 0.1195 13.6062
73.5877 2.2648 0.1232 13.9075
73.9504 2.1387 0.1093 14.4228
73.7589 1.8809 0.1246 15.2329
74.0997 1.8760 0.1288 16.3635
74.0396 1.5703 0.1208 16.8079
73.7930 1.3846 0.1192 16.8111
73.7930 1.3846 0.1192 16.8111
74.2278 1.5979 0.1368 18.3595
74.2278 1.5979 0.1368 18.3595
74.4006 1.7390 0.1249 17.6077
74.5408 2.1690 0.1225 16.7358
74.3959 2.1526 0.1275 16.4712
74.3760 2.2816 0.1274 16.0939
74.3760 2.2816 0.1274 16.0939
73.6459 1.9809 0.1489 15.8655
73.6459 1.9809 0.1489 15.8655
73.2786 1.7994 0.1434 15.5634
73.5074 1.9414 0.1445 15.4994
73.8078 1.8353 0.1547 17.1428
73.7442 1.7483 0.1395 16.4572
73.5339 1.7845 0.1366 15.6915
73.5339 1.7845 0.1366 15.6915
73.5339 1.7845 0.1366 15.6915
73.4480 1.8121 0.1425 15.7489
73.4480 1.8121 0.1425 15.7489
73.4480 1.8121 0.1425 15.7489
73.4480 1.8121 0.1425 15.7489
73.4480 1.8121 0.1425 15.7489
73.4300 1.7971 0.1461 15.9740
73.4794 1.7775 0.1441 16.0319
73.2328 1.9120 0.1505 15.4502
73.5117 2.0779 0.1263 14.2893
73.5117 2.0779 0.1263 14.2893
73.6977 2.0811 0.1329 14.9253
73.5062 1.8455 0.1418 15.6963
73.7851 1.7354 0.1371 16.4678
73.8089 1.8182 0.1472 16.7816
73.5196 1.8667 0.1483 15.9919
73.5196 1.8667 0.1483 15.9919
73.3883 1.4393 0.1451 17.5675
72.8375 1.4114 0.1317 16.0036
73.0490 1.5462 0.1286 15.4019
72.8656 1.5274 0.1272 15.2269
73.3686 1.6872 0.1329 15.5449
73.3686 1.6872 0.1329 15.5449
73.6367 1.9180 0.1451 15.8750
73.6367 1.9180 0.1451 15.8750
73.6367 1.9180 0.1451 15.8750
73.2079 1.7970 0.1367 15.1138
73.2079 1.7970 0.1367 15.1138
73.2079 1.7970 0.1367 15.1138
72.8766 2.0991 0.1450 14.2473
73.0913 1.8759 0.1593 15.8648
73.4202 1.7878 0.1682 17.3055
74.0861 2.1671 0.1693 17.3533
